FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
EasternAsia	Ukunda	1.105013667116567	0.047216975891567606
EasternAsia	Msambweni	0.17309043342255417	0.0077028478317224015
EasternAsia	Malindi	0.1630314341075592	0.007258452764507648
EasternAsia	Lamu	0.1605180912630488	0.007147353997703959
EasternAsia	Wajir	0.1714133079070296	0.007628781987186609
EasternAsia	Mtwapa	0.1630314341075592	0.007258452764507648
EasternAsia	Voi	0.48427790311231406	0.021256897381772395
EasternAsia	CentralAfrica	0.1705748390252384	0.007591749064918713
Europe	LowerSouthEasternAsia	0.6913014065328811	0.03007073288153168
Europe	NorthAmerica	1562.200913314609	0.9859274895381994
Europe	Oceania	0.4653293801389745	0.02044217309187868
Europe	WesternAsia	0.6073450398681738	0.02651557234381365
Europe	SouthAmerica	0.6125743433557584	0.026737769877421026
